arm,framework,variant,endpoint,concurrency,rep,io_ms,rps_mean,rps_stddev,total_requests,lat_mean_ms,lat_p50_ms,lat_p95_ms,lat_p99_ms,lat_max_ms,non2xx,errors,timeouts,throughput_mb,cpu_samples,cpu_mean_pct,cpu_max_pct,mem_mean_mb,mem_max_mb,loop_p99_ms,loop_max_ms,rss_final_mb,link_util_pct,link_speed_mbps
express-plain,express,plain,get,100,1,0,21996.54,308.35,1319769,3.83,3,7,8,214,0,0,0,10.425520839691162,120,98.729,100.76,36.08583333333333,36.68,15.515647,21.135359,82.7109375,0,0
express-plain,express,plain,get,100,2,0,21137.34,597.34,1268223,4.4,4,8,9,152,0,0,0,10.018098964691163,120,98.74366666666667,100.79,36.752,37.59,18.350079,19.349503,83.18359375,0,0
express-plain,express,plain,get,100,3,0,22473.34,719.56,1348337,3.75,3,8,8,188,0,0,0,10.651171875,120,98.74433333333333,100.78,38.66866666666667,39.3,17.055743,21.577727,83.23828125,0,0
express-plain,express,plain,get,100,4,0,21987.74,630.95,1319218,3.9,3,8,9,272,0,0,0,10.421223964691162,120,98.7005,100.76,37.727666666666664,38.32,17.416191,20.152319,84.125,0,0
express-plain,express,plain,get,100,5,0,22291.2,231.8,1337437,3.77,3,8,9,71,0,0,0,10.565104169845581,120,98.71216666666666,100.72,37.83583333333333,38.68,17.301503,20.201471,83.53125,0,0
express-plain,express,plain,get,10,1,0,22640.54,392.99,1358398,0.05,0,0,2,8,0,0,0,10.730989589691163,120,98.77416666666667,105.41,30.606333333333332,30.98,12.558335,14.426111,79.3828125,0,0
express-plain,express,plain,get,10,2,0,22243.74,549.43,1334624,0.05,0,0,2,8,0,0,0,10.543098964691161,120,98.78083333333333,100.82,30.993666666666666,32.0,12.484607,18.006015,79.1328125,0,0
express-plain,express,plain,get,10,3,0,21352.27,576.69,1281073,0.05,0,0,2,6,0,0,0,10.12018229484558,120,99.56766666666667,100.83,30.529666666666667,30.79,12.599295,14.180351,78.9609375,0,0
express-plain,express,plain,get,10,4,0,22237.34,341.03,1334198,0.05,0,0,2,6,0,0,0,10.54010416984558,120,98.762,100.75,31.643166666666666,32.91,12.648447,15.245311,78.8125,0,0
express-plain,express,plain,get,10,5,0,22496,408.1,1349765,0.05,0,0,2,7,0,0,0,10.6625,120,98.775,100.82,30.8485,32.05,12.443647,13.746175,79.27734375,0,0
express-plain,express,plain,get,500,1,0,19568.27,261.78,1174085,25.06,25,31,31,4605,0,0,0,9.275130214691162,120,98.66483333333333,100.66,58.21816666666667,58.83,28.377087,35.782655,99.734375,0,0
express-plain,express,plain,get,500,2,0,19343.2,210.97,1160573,25.35,26,31,32,4152,0,0,0,9.168229169845581,120,98.65183333333333,100.66,57.92366666666667,58.55,31.588351,32.063487,99.81640625,0,0
express-plain,express,plain,get,500,3,0,19406.94,259.37,1164420,25.3,26,31,32,3887,0,0,0,9.198958339691162,120,98.5855,100.71,58.82083333333333,59.43,28.606463,30.261247,100,0,0
express-plain,express,plain,get,500,4,0,19045.41,795.59,1142680,25.76,26,34,35,5074,0,0,0,9.02692057609558,120,99.4235,100.77,57.93116666666667,58.38,34.373631,35.717119,99.2734375,0,0
express-plain,express,plain,get,500,5,0,19418.14,259.72,1165081,25.26,26,31,31,3960,0,0,0,9.20390625,120,98.6565,100.79,57.78,58.28,29.360127,30.441471,99.73046875,0,0
express-plain,express,plain,post,100,1,0,17452.47,422.25,1047139,5.04,4,9,9,132,0,0,0,8.671582040786744,120,98.60683333333333,100.67,39.05416666666667,39.91,17.252351,23.937023,84.53515625,0,0
express-plain,express,plain,post,100,2,0,17736.74,257.34,1064142,4.93,4,10,10,201,0,0,0,8.812141933441161,120,98.6265,100.61,41.23983333333334,42.48,19.595263,22.052863,88.83984375,0,0
express-plain,express,plain,post,100,3,0,17258.14,427.55,1035401,5.1,4,9,10,307,0,0,0,8.573893232345581,120,98.62650000000001,100.65,38.894,39.88,17.448959,23.019519,84.70703125,0,0
express-plain,express,plain,post,100,4,0,17329,358.28,1039721,5.09,4,9,10,314,0,0,0,8.60986328125,120,98.613,100.61,37.717,38.54,17.252351,22.642687,83.76953125,0,0
express-plain,express,plain,post,100,5,0,17014.6,892.69,1020876,5.22,4,9,10,177,0,0,0,8.454264326095581,120,98.6145,100.65,38.0755,38.75,19.070975,23.871487,84.46484375,0,0
express-plain,express,plain,post,10,1,0,18264.8,365.28,1095901,0.05,0,1,2,8,0,0,0,9.075130214691162,120,98.663,100.62,30.399333333333335,31.1,12.525567,16.605183,79.86328125,0,0
express-plain,express,plain,post,10,2,0,18309.34,425.57,1098540,0.05,0,1,2,14,0,0,0,9.096614589691162,120,98.674,100.68,30.939833333333333,33.03,12.468223,16.572415,79.12109375,0,0
express-plain,express,plain,post,10,3,0,18038.67,407.98,1082323,0.06,0,1,2,9,0,0,0,8.962630214691162,120,98.661,100.69,31.640833333333333,32.45,12.754943,16.941055,79.4375,0,0
express-plain,express,plain,post,10,4,0,18008.2,408.37,1080507,0.06,0,1,2,10,0,0,0,8.947395839691161,120,98.65633333333334,100.63,31.391833333333334,32.42,12.648447,16.695295,79.19921875,0,0
express-plain,express,plain,post,10,5,0,17993.14,424.54,1079623,0.06,0,1,3,12,0,0,0,8.94072265625,120,99.42858333333334,100.65,30.710833333333333,32.04,12.640255,16.990207,79.21875,0,0
express-plain,express,plain,post,500,1,0,16109.74,233.36,966563,30.56,30,37,37,5299,0,0,0,8.004166669845581,120,98.59816666666667,100.62,57.1095,57.66,33.177599,39.419903,98.14453125,0,0
express-plain,express,plain,post,500,2,0,16198.74,175.66,971901,30.38,30,36,37,5791,0,0,0,8.04879557609558,120,98.56283333333333,100.62,56.774,57.51,33.423359,34.439167,98.3046875,0,0
express-plain,express,plain,post,500,3,0,15681.2,481.88,940817,31.37,31,39,40,5418,0,0,0,7.791015625,120,98.597,100.67,55.229,55.64,35.717119,36.929535,97.1484375,0,0
express-plain,express,plain,post,500,4,0,15579.47,211.39,934795,31.59,32,39,40,4384,0,0,0,7.741080732345581,120,98.58083333333333,100.66,57.95616666666667,58.75,40.796159,43.220991,99.5703125,0,0
express-plain,express,plain,post,500,5,0,16060.54,176.89,963598,30.63,30,37,37,5443,0,0,0,7.979752607345581,120,98.62716666666667,100.61,58.436,58.92,32.735231,40.501247,99.65625,0,0
express-zod,express,zod,get,100,1,0,22061.87,312.94,1323715,3.82,3,8,9,229,0,0,0,10.457552089691163,120,98.68633333333334,100.69,38.8545,39.48,17.563647,22.134783,84.08984375,0,0
express-zod,express,zod,get,100,2,0,22517.07,224.36,1350977,3.73,3,8,9,222,0,0,0,10.672005214691161,120,98.67666666666666,100.79,40.413333333333334,41.4,17.301503,22.593535,84.48046875,0,0
express-zod,express,zod,get,100,3,0,22401.34,247.04,1344057,3.74,3,8,9,24,0,0,0,10.617057294845582,120,98.7095,100.72,39.245666666666665,40.1,17.268735,18.268159,84.3828125,0,0
express-zod,express,zod,get,100,4,0,22287.47,275.46,1337227,3.77,3,8,9,222,0,0,0,10.563802089691162,120,98.65066666666667,100.66,36.24816666666666,38.37,17.530879,19.857407,83.5234375,0,0
express-zod,express,zod,get,100,5,0,21962.4,331.98,1317721,3.85,3,8,8,180,0,0,0,10.409114589691162,120,98.70466666666667,100.66,39.04816666666667,39.44,15.704063,19.169279,84.015625,0,0
express-zod,express,zod,get,10,1,0,22453.6,319.59,1347159,0.05,0,0,2,7,0,0,0,10.64205729484558,120,98.75783333333334,100.73,31.431166666666666,32.44,12.632063,17.039359,79.59765625,0,0
express-zod,express,zod,get,10,2,0,22433.34,389.97,1345997,0.05,0,0,2,5,0,0,0,10.633333339691163,120,98.71633333333334,100.81,31.455333333333332,32.05,12.656639,14.163967,79.95703125,0,0
express-zod,express,zod,get,10,3,0,22371.74,408.87,1342288,0.05,0,0,2,5,0,0,0,10.603776044845581,120,98.787,100.85,30.838666666666665,31.23,12.648447,14.172159,79.7109375,0,0
express-zod,express,zod,get,10,4,0,22202.67,629.13,1332137,0.05,0,0,2,6,0,0,0,10.52252604484558,120,98.70666666666666,100.72,31.061833333333333,31.82,12.664831,14.393343,79.91796875,0,0
express-zod,express,zod,get,10,5,0,22397.6,326,1343847,0.05,0,0,2,6,0,0,0,10.615494794845581,120,98.788,100.8,32.04083333333333,33.38,12.664831,14.131199,79.91796875,0,0
express-zod,express,zod,get,500,1,0,19601.34,293.89,1176074,25.02,26,31,31,3522,0,0,0,9.290625,120,98.6665,100.66,58.86116666666667,59.53,28.098559,32.161791,101.15625,0,0
express-zod,express,zod,get,500,2,0,19042.94,160.84,1142590,25.74,26,31,32,4709,0,0,0,9.02578125,120,98.652,100.69,58.88333333333333,59.55,30.572543,33.112063,100.75,0,0
express-zod,express,zod,get,500,3,0,19312,239.07,1158698,25.39,26,31,32,4227,0,0,0,9.152864589691163,120,98.64483333333334,100.69,58.32533333333333,59.34,28.459007,29.114367,101.6640625,0,0
express-zod,express,zod,get,500,4,0,19338.67,235.7,1160307,25.38,26,31,32,4541,0,0,0,9.165755214691162,120,98.58816666666667,100.67,58.824,59.38,28.278783,30.474239,100.078125,0,0
express-zod,express,zod,get,500,5,0,19488,223.98,1169276,25.17,26,31,31,3833,0,0,0,9.237239589691162,120,98.66233333333334,100.71,58.8365,59.25,28.131327,30.113791,100.2890625,0,0
express-zod,express,zod,post,100,1,0,16132.47,297.69,967894,5.9,5,10,10,324,0,0,0,8.015332040786744,120,98.59966666666666,100.6,38.17816666666667,38.57,18.104319,23.625727,82.96484375,0,0
express-zod,express,zod,post,100,2,0,16223.47,286.79,973392,5.87,5,10,10,336,0,0,0,8.060319013595581,120,99.34591666666667,100.58,38.32491666666667,39.21,17.858559,23.314431,84.109375,0,0
express-zod,express,zod,post,100,3,0,16370.94,290.32,982257,5.75,5,10,10,340,0,0,0,8.134309902191163,120,98.60183333333333,100.6,36.686166666666665,38.11,17.858559,23.150591,82.94921875,0,0
express-zod,express,zod,post,100,4,0,16209.34,324.08,972505,5.87,5,10,10,343,0,0,0,8.05367838859558,120,98.58316666666667,100.62,36.905833333333334,37.51,17.924095,25.280511,82.78515625,0,0
express-zod,express,zod,post,100,5,0,16083.34,321.2,964959,5.9,5,10,10,204,0,0,0,7.99140625,120,98.58033333333333,100.63,36.5165,36.84,17.956863,23.429119,82.96484375,0,0
express-zod,express,zod,post,10,1,0,16729.6,316.63,1003705,0.06,0,1,3,13,0,0,0,8.31158854484558,120,98.56266666666667,100.66,31.477833333333333,31.81,12.894207,21.512191,80.29296875,0,0
express-zod,express,zod,post,10,2,0,16621.47,365,997227,0.06,0,1,3,8,0,0,0,8.257682294845582,120,98.60716666666667,100.63,31.391666666666666,32.06,12.926975,16.777215,79.84375,0,0
express-zod,express,zod,post,10,3,0,16776.6,425.56,1006501,0.06,0,1,3,8,0,0,0,8.3349609375,120,98.62783333333333,100.76,31.654,33.11,12.787711,16.162815,79.82421875,0,0
express-zod,express,zod,post,10,4,0,16908.54,361.03,1014438,0.06,0,1,3,9,0,0,0,8.40094401359558,120,99.37175,100.58,31.102083333333333,33.07,12.918783,17.170431,80.08984375,0,0
express-zod,express,zod,post,10,5,0,16843.6,304.08,1010643,0.06,0,1,3,9,0,0,0,8.368847665786744,120,98.65283333333333,100.7,31.19183333333333,31.47,12.738559,16.809983,79.9453125,0,0
express-zod,express,zod,post,500,1,0,14566,243.23,873935,33.82,33,41,41,5543,0,0,0,7.2370442771911625,120,98.55616666666667,100.68,52.26316666666666,53.14,36.470783,41.943039,94.265625,0,0
express-zod,express,zod,post,500,2,0,14590,215.34,875356,33.77,34,43,44,7025,0,0,0,7.248958339691162,120,98.57983333333334,100.59,54.08316666666666,54.82,43.155455,45.318143,96.18359375,0,0
express-zod,express,zod,post,500,3,0,14838.4,358.61,890280,33.21,33,40,40,4689,0,0,0,7.372395839691162,120,99.30775,100.65,54.51883333333333,54.86,36.274175,49.774591,96.234375,0,0
express-zod,express,zod,post,500,4,0,14799.6,170.36,887954,33.31,33,40,41,3156,0,0,0,7.3532552146911625,120,99.34616666666666,100.66,55.1255,55.55,34.996223,55.312383,96.75390625,0,0
express-zod,express,zod,post,500,5,0,14712.8,236.52,882724,33.51,33,40,41,6156,0,0,0,7.310026044845581,120,98.62083333333334,100.7,55.048833333333334,55.74,35.815423,41.680895,96.69140625,0,0
fastify-plain,fastify,plain,get,100,1,0,111481.6,645.34,6688646,0.01,0,0,0,74,0,0,0,45.82083333969116,120,101.4245,102.92,29.09525,29.98,10.862591,12.812287,75.5390625,0,0
fastify-plain,fastify,plain,get,100,2,0,112112,859.1,6726736,0.01,0,0,0,53,0,0,0,46.08020833969116,120,101.3095,102.83,29.974833333333333,30.73,10.780671,20.119551,76.3203125,0,0
fastify-plain,fastify,plain,get,100,3,0,112456.54,957.65,6747429,0.01,0,0,0,60,0,0,0,46.223958339691166,120,100.536,102.83,29.739833333333333,30.52,10.747903,13.402111,76.73046875,0,0
fastify-plain,fastify,plain,get,100,4,0,109544.54,1903.63,6572458,0.01,0,0,0,84,0,0,0,45.024479169845584,120,101.54175000000001,103.09,29.589916666666667,30.16,10.797055,15.900671,75.6875,0,0
fastify-plain,fastify,plain,get,100,5,0,111324.8,986.41,6679468,0.01,0,0,0,64,0,0,0,45.75729166984558,120,100.5215,102.66,29.0285,29.52,10.821631,14.499839,75.9609375,0,0
fastify-plain,fastify,plain,get,10,1,0,113324.8,399.48,6799645,0.01,0,0,0,8,0,0,0,46.58125,120,100.8895,103.06,23.433,24.18,10.067967,11.804671,73.0859375,0,0
fastify-plain,fastify,plain,get,10,2,0,113784.54,242.05,6827246,0.01,0,0,0,10,0,0,0,46.77135416984558,120,100.90866666666666,103.04,23.622,24.34,10.067967,18.513919,72.9765625,0,0
fastify-plain,fastify,plain,get,10,3,0,114813.87,325.6,6888307,0.01,0,0,0,10,0,0,0,47.1890625,120,100.93866666666666,103.05,24.027833333333334,24.74,10.067967,18.415615,72.77734375,0,0
fastify-plain,fastify,plain,get,10,4,0,114088.54,297.33,6845664,0.01,0,0,0,5,0,0,0,46.897395839691164,120,100.89383333333333,103.16,23.7915,24.24,10.084351,12.091391,73.17578125,0,0
fastify-plain,fastify,plain,get,10,5,0,114584.54,216.12,6874808,0.01,0,0,0,7,0,0,0,47.09739583969116,120,100.969,103.18,23.485,23.94,10.067967,16.130047,72.96875,0,0
fastify-plain,fastify,plain,get,500,1,0,102187.74,1681.33,6131400,4.16,4,5,10,879,0,0,0,42.00260416984558,120,100.25116666666666,102.59,39.65416666666667,40.15,18.644991,20.709375,83.078125,0,0
fastify-plain,fastify,plain,get,500,2,0,102160,1138.99,6129564,4.15,4,6,10,914,0,0,0,41.99010416984558,120,100.06966666666666,102.28,39.32483333333333,39.97,17.088511,22.298623,83.5546875,0,0
fastify-plain,fastify,plain,get,500,3,0,102789.34,1596.04,6167221,4.14,4,5,10,981,0,0,0,42.24947916984558,120,100.04566666666666,102.24,41.2685,41.97,18.415615,19.578879,84.29296875,0,0
fastify-plain,fastify,plain,get,500,4,0,104113.07,1505.79,6246661,4.14,4,6,10,707,0,0,0,42.79114583969116,120,100.03883333333333,102.31,40.100833333333334,40.73,18.284543,29.376511,83.84765625,0,0
fastify-plain,fastify,plain,get,500,5,0,102990.94,1034.67,6179498,4.14,4,5,10,1176,0,0,0,42.334375,120,100.20333333333333,102.42,39.81783333333333,40.82,18.497535,20.922367,83.625,0,0
fastify-plain,fastify,plain,post,100,1,0,51420.27,640.14,3085155,1.34,1,5,5,147,0,0,0,22.31276041984558,120,99.36566666666667,101.46,38.9435,39.41,14.581759,15.876095,84.8046875,0,0
fastify-plain,fastify,plain,post,100,2,0,51859.74,682.82,3111592,1.33,1,5,5,175,0,0,0,22.502604169845583,120,99.4005,101.48,38.0615,38.96,14.344191,16.941055,84.4296875,0,0
fastify-plain,fastify,plain,post,100,3,0,52285.87,729.89,3137060,1.33,1,5,5,127,0,0,0,22.68854166984558,120,99.45766666666667,101.61,39.524166666666666,39.94,14.376959,22.691839,84.7578125,0,0
fastify-plain,fastify,plain,post,100,4,0,52355.2,726.65,3141354,1.34,1,5,5,67,0,0,0,22.718229169845582,120,99.58866666666667,101.64,38.58883333333333,38.96,14.295039,16.924671,84.18359375,0,0
