[23:14:32] build
[23:14:33] autocannon autocannon v8.0.0
[23:14:33] saída: results/run-20260923-231432 | 120 execuções | ~200 min
[23:14:33] == repetição 1/5 ==
[23:14:33]   fastify-plain__get__io0__c10__r1
[23:16:15]   fastify-plain__get__io0__c100__r1
[23:17:58]   fastify-plain__get__io0__c500__r1
[23:19:40]   fastify-plain__post__io0__c10__r1
[23:21:23]   fastify-plain__post__io0__c100__r1
[23:23:05]   fastify-plain__post__io0__c500__r1
[23:24:48]   express-zod__get__io0__c10__r1
[23:26:30]   express-zod__get__io0__c100__r1
[23:28:13]   express-zod__get__io0__c500__r1
[23:29:54]   express-zod__post__io0__c10__r1
[23:31:37]   express-zod__post__io0__c100__r1
[23:33:19]   express-zod__post__io0__c500__r1
[23:35:02]   express-plain__get__io0__c10__r1
[23:36:44]   express-plain__get__io0__c100__r1
[23:38:27]   express-plain__get__io0__c500__r1
[23:40:09]   express-plain__post__io0__c10__r1
[23:41:51]   express-plain__post__io0__c100__r1
[23:43:34]   express-plain__post__io0__c500__r1
[23:45:16]   fastify-schema__get__io0__c10__r1
[23:46:59]   fastify-schema__get__io0__c100__r1
[23:48:41]   fastify-schema__get__io0__c500__r1
[23:50:24]   fastify-schema__post__io0__c10__r1
[23:52:06]   fastify-schema__post__io0__c100__r1
[23:53:49]   fastify-schema__post__io0__c500__r1
[23:55:31] == repetição 2/5 ==
[23:55:31]   express-plain__get__io0__c10__r2
[23:57:14]   express-plain__get__io0__c100__r2
[23:58:56]   express-plain__get__io0__c500__r2
[00:00:39]   express-plain__post__io0__c10__r2
[00:02:21]   express-plain__post__io0__c100__r2
[00:04:04]   express-plain__post__io0__c500__r2
[00:05:46]   express-zod__get__io0__c10__r2
[00:07:29]   express-zod__get__io0__c100__r2
[00:09:11]   express-zod__get__io0__c500__r2
[00:10:54]   express-zod__post__io0__c10__r2
[00:12:36]   express-zod__post__io0__c100__r2
[00:14:17]   express-zod__post__io0__c500__r2
[00:15:59]   fastify-schema__get__io0__c10__r2
[00:17:41]   fastify-schema__get__io0__c100__r2
[00:19:24]   fastify-schema__get__io0__c500__r2
[00:21:06]   fastify-schema__post__io0__c10__r2
[00:22:49]   fastify-schema__post__io0__c100__r2
[00:24:31]   fastify-schema__post__io0__c500__r2
[00:26:14]   fastify-plain__get__io0__c10__r2
[00:27:56]   fastify-plain__get__io0__c100__r2
[00:29:39]   fastify-plain__get__io0__c500__r2
[00:31:21]   fastify-plain__post__io0__c10__r2
[00:33:04]   fastify-plain__post__io0__c100__r2
[00:34:46]   fastify-plain__post__io0__c500__r2
[00:36:29] == repetição 3/5 ==
[00:36:29]   fastify-schema__get__io0__c10__r3
[00:38:11]   fastify-schema__get__io0__c100__r3
