[02:39:22] build
[02:39:23] autocannon autocannon v8.0.0
[02:39:23] saída: results/run-20260924-023922 | 120 execuções | ~200 min
[02:39:23] == repetição 1/5 ==
[02:39:23]   express-zod__get__io0__c10__r1
[02:41:06]   express-zod__get__io0__c100__r1
[02:42:48]   express-zod__get__io0__c500__r1
[02:44:31]   express-zod__post__io0__c10__r1
[02:46:13]   express-zod__post__io0__c100__r1
[02:47:56]   express-zod__post__io0__c500__r1
[02:49:38]   fastify-schema__get__io0__c10__r1
[02:51:21]   fastify-schema__get__io0__c100__r1
[02:53:03]   fastify-schema__get__io0__c500__r1
[02:54:45]   fastify-schema__post__io0__c10__r1
[02:56:27]   fastify-schema__post__io0__c100__r1
[02:58:09]   fastify-schema__post__io0__c500__r1
[02:59:52]   express-plain__get__io0__c10__r1
[03:01:34]   express-plain__get__io0__c100__r1
[03:03:17]   express-plain__get__io0__c500__r1
[03:04:59]   express-plain__post__io0__c10__r1
[03:06:42]   express-plain__post__io0__c100__r1
[03:08:23]   express-plain__post__io0__c500__r1
[03:10:05]   fastify-plain__get__io0__c10__r1
[03:11:47]   fastify-plain__get__io0__c100__r1
[03:13:30]   fastify-plain__get__io0__c500__r1
[03:15:12]   fastify-plain__post__io0__c10__r1
[03:16:55]   fastify-plain__post__io0__c100__r1
[03:18:37]   fastify-plain__post__io0__c500__r1
[03:20:20] == repetição 2/5 ==
[03:20:20]   express-plain__get__io0__c10__r2
[03:22:02]   express-plain__get__io0__c100__r2
[03:23:45]   express-plain__get__io0__c500__r2
[03:25:27]   express-plain__post__io0__c10__r2
[03:27:10]   express-plain__post__io0__c100__r2
[03:28:52]   express-plain__post__io0__c500__r2
[03:30:35]   fastify-schema__get__io0__c10__r2
[03:32:17]   fastify-schema__get__io0__c100__r2
[03:33:59]   fastify-schema__get__io0__c500__r2
[03:35:42]   fastify-schema__post__io0__c10__r2
[03:37:24]   fastify-schema__post__io0__c100__r2
[03:39:07]   fastify-schema__post__io0__c500__r2
[03:40:49]   express-zod__get__io0__c10__r2
[03:42:32]   express-zod__get__io0__c100__r2
[03:44:14]   express-zod__get__io0__c500__r2
[03:45:57]   express-zod__post__io0__c10__r2
[03:47:39]   express-zod__post__io0__c100__r2
[03:49:22]   express-zod__post__io0__c500__r2
[03:51:04]   fastify-plain__get__io0__c10__r2
[03:52:47]   fastify-plain__get__io0__c100__r2
[03:54:29]   fastify-plain__get__io0__c500__r2
[03:56:12]   fastify-plain__post__io0__c10__r2
[03:57:54]   fastify-plain__post__io0__c100__r2
[03:59:37]   fastify-plain__post__io0__c500__r2
[04:01:19] == repetição 3/5 ==
[04:01:19]   fastify-schema__get__io0__c10__r3
[04:03:02]   fastify-schema__get__io0__c100__r3
[04:04:44]   fastify-schema__get__io0__c500__r3
[04:06:26]   fastify-schema__post__io0__c10__r3
[04:08:09]   fastify-schema__post__io0__c100__r3
[04:09:51]   fastify-schema__post__io0__c500__r3
[04:11:33]   fastify-plain__get__io0__c10__r3
[04:13:15]   fastify-plain__get__io0__c100__r3
[04:14:58]   fastify-plain__get__io0__c500__r3
[04:16:40]   fastify-plain__post__io0__c10__r3
[04:18:22]   fastify-plain__post__io0__c100__r3
[04:20:04]   fastify-plain__post__io0__c500__r3
[04:21:47]   express-zod__get__io0__c10__r3
[04:23:29]   express-zod__get__io0__c100__r3
[04:25:12]   express-zod__get__io0__c500__r3
[04:26:53]   express-zod__post__io0__c10__r3
[04:28:36]   express-zod__post__io0__c100__r3
[04:30:18]   express-zod__post__io0__c500__r3
[04:32:00]   express-plain__get__io0__c10__r3
[04:33:42]   express-plain__get__io0__c100__r3
[04:35:25]   express-plain__get__io0__c500__r3
[04:37:07]   express-plain__post__io0__c10__r3
[04:38:49]   express-plain__post__io0__c100__r3
[04:40:32]   express-plain__post__io0__c500__r3
[04:42:14] == repetição 4/5 ==
[04:42:14]   fastify-schema__get__io0__c10__r4
[04:43:57]   fastify-schema__get__io0__c100__r4
[04:45:39]   fastify-schema__get__io0__c500__r4
[04:47:22]   fastify-schema__post__io0__c10__r4
[04:49:04]   fastify-schema__post__io0__c100__r4
[04:50:47]   fastify-schema__post__io0__c500__r4
[04:52:29]   express-zod__get__io0__c10__r4
[04:54:12]   express-zod__get__io0__c100__r4
[04:55:54]   express-zod__get__io0__c500__r4
[04:57:37]   express-zod__post__io0__c10__r4
[04:59:19]   express-zod__post__io0__c100__r4
[05:01:01]   express-zod__post__io0__c500__r4
[05:02:43]   fastify-plain__get__io0__c10__r4
[05:04:26]   fastify-plain__get__io0__c100__r4
[05:06:08]   fastify-plain__get__io0__c500__r4
[05:07:51]   fastify-plain__post__io0__c10__r4
[05:09:33]   fastify-plain__post__io0__c100__r4
[05:11:16]   fastify-plain__post__io0__c500__r4
[05:12:58]   express-plain__get__io0__c10__r4
[05:14:41]   express-plain__get__io0__c100__r4
[05:16:23]   express-plain__get__io0__c500__r4
[05:18:06]   express-plain__post__io0__c10__r4
[05:19:48]   express-plain__post__io0__c100__r4
