endpoint,io_ms,concorrencia,arm,reps,rps_media,rps_dp,rps_cv_pct,lat_media_ms,p95_mediana_ms,p99_mediana_ms,p99_pior_ms,cpu_media_pct,mem_media_mb,loop_p99_ms,erro_pct,deriva_pct,enlace_pct,req_por_vcpu_hora,usd_por_milhao_req,vcpus_para_10k_rps
get,0,10,express-plain,5,6918.6,57.2,0.83,0.82,2,3,3,98.5,29.9,11.928,0.0,0.29,0,25286396,0.0017,1.42
get,0,10,express-zod,5,6935.6,16.2,0.23,0.788,2,3,3,98.5,30.2,12.344,0.0,0.09,0,25351937,0.0017,1.42
get,0,10,fastify-plain,5,10968.5,178.2,1.63,0.15,1,1,1,98.6,30.1,10.527,0.0,-2.1,0,40058802,0.0011,0.9
get,0,10,fastify-schema,5,6344.6,31.1,0.49,1.15,2,2,2,98.6,33.1,11.072,0.0,0.59,0,23154648,0.0018,1.55
get,0,100,express-plain,5,6766.9,47.6,0.7,14.152,18,19,22,98.5,35.3,17.967,0.0,-0.28,0,24739414,0.0017,1.46
get,0,100,express-zod,5,6736.0,53.2,0.79,14.244,18,19,19,98.5,35.9,17.954,0.0,0.98,0,24618003,0.0017,1.46
get,0,100,fastify-plain,5,11017.4,48.8,0.44,8.344,9,17,17,98.7,34.3,18.76,0.0,-0.36,0,40188836,0.0011,0.9
get,0,100,fastify-schema,5,6301.3,28.1,0.45,15.222,15,30,31,98.8,35.5,16.264,0.0,0.74,0,22954369,0.0019,1.57
get,0,500,express-plain,5,6554.4,94.4,1.44,74.578,83,84,84,98.5,44.9,82.641,0.024,1.49,0,23964877,0.0018,1.5
get,0,500,express-zod,5,6552.6,100.6,1.53,74.78,84,84,85,98.4,45.8,82.706,0.02,2.05,0,23963153,0.0018,1.5
get,0,500,fastify-plain,5,10880.1,226.2,2.08,45.402,47,52,54,98.6,39.6,53.766,0.002,-2.16,0,39731604,0.0011,0.91
get,0,500,fastify-schema,5,6300.8,47.6,0.76,77.274,80,86,87,98.6,40.0,83.729,0.031,-1.08,0,23010243,0.0018,1.56
post,0,10,express-plain,5,18042.7,366.1,2.03,0.06,1,3,3,99.0,30.9,12.678,0.0,-3.45,0,65635423,0.0006,0.55
post,0,10,express-zod,5,16666.5,188.0,1.13,0.06,1,3,3,98.8,31.7,12.883,0.0,1.55,0,60727818,0.0007,0.59
post,0,10,fastify-plain,5,55082.7,379.7,0.69,0.02,0,0,0,99.7,32.0,12.94,0.0,0.31,0,198916375,0.0002,0.18
post,0,10,fastify-schema,5,50750.4,261.1,0.51,0.02,0,0,0,99.6,33.5,12.912,0.0,-0.85,0,183402595,0.0002,0.2
post,0,100,express-plain,5,17243.7,549.9,3.19,5.164,9,9,10,98.9,38.0,17.77,0.0,-1.81,0,62744530,0.0007,0.57
post,0,100,express-zod,5,16072.7,135.6,0.84,5.886,10,11,11,98.6,38.0,17.921,0.0,-0.76,0,58686557,0.0007,0.61
post,0,100,fastify-plain,5,51938.0,218.7,0.42,1.336,5,5,5,99.4,38.5,14.397,0.0,-0.39,0,188094874,0.0002,0.19
post,0,100,fastify-schema,5,47527.2,210.5,0.44,1.398,5,6,6,99.4,38.9,14.379,0.0,-0.08,0,172156856,0.0002,0.21
post,0,500,express-plain,5,16154.2,146.2,0.9,30.464,37,37,37,98.7,56.3,33.6,0.0,0.26,0,58897792,0.0007,0.61
post,0,500,express-zod,5,14441.1,429.1,2.97,34.162,41,41,44,98.8,53.6,37.578,0.0,3.43,0,52639688,0.0008,0.68
post,0,500,fastify-plain,5,47213.2,1683.6,3.57,10.168,16,17,17,99.3,50.7,20.251,0.0,-2.92,0,171217286,0.0002,0.21
post,0,500,fastify-schema,5,44640.0,475.4,1.06,10.634,17,17,17,99.3,50.3,24.569,0.0,1.38,0,161886154,0.0003,0.22
