[08:55:47] build
[08:55:48] autocannon autocannon v8.0.0
[08:55:48] saída: results/run-20260924-085547 | 120 execuções | ~200 min
[08:55:48] == repetição 1/5 ==
[08:55:48]   fastify-schema__get__io0__c10__r1
[08:57:30]   fastify-schema__get__io0__c100__r1
[08:59:13]   fastify-schema__get__io0__c500__r1
[09:00:55]   fastify-schema__post__io0__c10__r1
[09:02:38]   fastify-schema__post__io0__c100__r1
[09:04:20]   fastify-schema__post__io0__c500__r1
[09:06:03]   fastify-plain__get__io0__c10__r1
[09:07:45]   fastify-plain__get__io0__c100__r1
[09:09:28]   fastify-plain__get__io0__c500__r1
[09:11:10]   fastify-plain__post__io0__c10__r1
[09:12:53]   fastify-plain__post__io0__c100__r1
[09:14:35]   fastify-plain__post__io0__c500__r1
[09:16:18]   express-zod__get__io0__c10__r1
[09:18:00]   express-zod__get__io0__c100__r1
[09:19:42]   express-zod__get__io0__c500__r1
[09:21:25]   express-zod__post__io0__c10__r1
[09:23:07]   express-zod__post__io0__c100__r1
[09:24:49]   express-zod__post__io0__c500__r1
[09:26:31]   express-plain__get__io0__c10__r1
[09:28:14]   express-plain__get__io0__c100__r1
[09:29:56]   express-plain__get__io0__c500__r1
[09:31:39]   express-plain__post__io0__c10__r1
[09:33:21]   express-plain__post__io0__c100__r1
[09:35:04]   express-plain__post__io0__c500__r1
[09:36:46] == repetição 2/5 ==
[09:36:46]   fastify-plain__get__io0__c10__r2
[09:38:29]   fastify-plain__get__io0__c100__r2
[09:40:11]   fastify-plain__get__io0__c500__r2
[09:41:54]   fastify-plain__post__io0__c10__r2
[09:43:36]   fastify-plain__post__io0__c100__r2
[09:45:19]   fastify-plain__post__io0__c500__r2
[09:47:01]   fastify-schema__get__io0__c10__r2
[09:48:44]   fastify-schema__get__io0__c100__r2
[09:50:26]   fastify-schema__get__io0__c500__r2
[09:52:09]   fastify-schema__post__io0__c10__r2
[09:53:51]   fastify-schema__post__io0__c100__r2
[09:55:34]   fastify-schema__post__io0__c500__r2
[09:57:16]   express-plain__get__io0__c10__r2
[09:58:58]   express-plain__get__io0__c100__r2
